condition,img_side_order,trial_no,img_pair_name,trial_type,target_audio_type,target_audio,left_img,right_img,clicked_img,start_time,current_windowW,current_windowH,end_pre1_time,end_pre2_time,end_img_reset_time,end_contrast_time,start_event_time,end_event_time,end_trial_time,start_event_timept,end_event_timept,time,x,y,Browser,OS,screenH,screenW,windowH,windowW,imageH,imageW,language,age,gender,eyesight,eyesight_task,comments,accuracy,previous_accuracy_attempts,time_in_minutes,participant_id
baseline,img_side_order2,1,pair3,noun_filler,noun_filler,horse_filler,wave,horse,none,1597885146266,1920,979,5087,10114,11117,17136,18294,26348,1597885174092,1597885164560,1597885172614,82959.25500000158,1428,166,Chrome,Windows,1080,1920,979,1920,288,400,English,42,Male,nearsighted,glasses,,84,[],7.46115,229102
baseline,img_side_order2,1,pair3,noun_filler,noun_filler,horse_filler,wave,horse,none,1597885146266,1920,979,5087,10114,11117,17136,18294,26348,1597885174092,1597885164560,1597885172614,83081.49500000218,1365,0,Chrome,Windows,1080,1920,979,1920,288,400,English,42,Male,nearsighted,glasses,,84,[],7.46115,229102
baseline,img_side_order2,1,pair3,noun_filler,noun_filler,horse_filler,wave,horse,none,1597885146266,1920,979,5087,10114,11117,17136,18294,26348,1597885174092,1597885164560,1597885172614,83151.74000000115,1532,8,Chrome,Windows,1080,1920,979,1920,288,400,English,42,Male,nearsighted,glasses,,84,[],7.46115,229102
baseline,img_side_order2,1,pair3,noun_filler,noun_filler,horse_filler,wave,horse,none,1597885146266,1920,979,5087,10114,11117,17136,18294,26348,1597885174092,1597885164560,1597885172614,83197.82000000123,1600,116,Chrome,Windows,1080,1920,979,1920,288,400,English,42,Male,nearsighted,glasses,,84,[],7.46115,229102
baseline,img_side_order2,1,pair3,noun_filler,noun_filler,horse_filler,wave,horse,none,1597885146266,1920,979,5087,10114,11117,17136,18294,26348,1597885174092,1597885164560,1597885172614,83267.03500000076,1742,126,Chrome,Windows,1080,1920,979,1920,288,400,English,42,Male,nearsighted,glasses,,84,[],7.46115,229102
baseline,img_side_order2,1,pair3,noun_filler,noun_filler,horse_filler,wave,horse,none,1597885146266,1920,979,5087,10114,11117,17136,18294,26348,1597885174092,1597885164560,1597885172614,83321.37499999953,1719,192,Chrome,Windows,1080,1920,979,1920,288,400,English,42,Male,nearsighted,glasses,,84,[],7.46115,229102
baseline,img_side_order2,1,pair3,noun_filler,noun_filler,horse_filler,wave,horse,none,1597885146266,1920,979,5087,10114,11117,17136,18294,26348,1597885174092,1597885164560,1597885172614,83380.6399999994,1727,155,Chrome,Windows,1080,1920,979,1920,288,400,English,42,Male,nearsighted,glasses,,84,[],7.46115,229102
baseline,img_side_order2,1,pair3,noun_filler,noun_filler,horse_filler,wave,horse,none,1597885146266,1920,979,5087,10114,11117,17136,18294,26348,1597885174092,1597885164560,1597885172614,83438.3799999996,1034,214,Chrome,Windows,1080,1920,979,1920,288,400,English,42,Male,nearsighted,glasses,,84,[],7.46115,229102
baseline,img_side_order2,1,pair3,noun_filler,noun_filler,horse_filler,wave,horse,none,1597885146266,1920,979,5087,10114,11117,17136,18294,26348,1597885174092,1597885164560,1597885172614,83490.2800000018,1034,176,Chrome,Windows,1080,1920,979,1920,288,400,English,42,Male,nearsighted,glasses,,84,[],7.46115,229102
baseline,img_side_order2,1,pair3,noun_filler,noun_filler,horse_filler,wave,horse,none,1597885146266,1920,979,5087,10114,11117,17136,18294,26348,1597885174092,1597885164560,1597885172614,83537.83000000112,502,360,Chrome,Windows,1080,1920,979,1920,288,400,English,42,Male,nearsighted,glasses,,84,[],7.46115,229102
baseline,img_side_order2,1,pair3,noun_filler,noun_filler,horse_filler,wave,horse,none,1597885146266,1920,979,5087,10114,11117,17136,18294,26348,1597885174092,1597885164560,1597885172614,83576.19500000146,392,340,Chrome,Windows,1080,1920,979,1920,288,400,English,42,Male,nearsighted,glasses,,84,[],7.46115,229102
baseline,img_side_order2,1,pair3,noun_filler,noun_filler,horse_filler,wave,horse,none,1597885146266,1920,979,5087,10114,11117,17136,18294,26348,1597885174092,1597885164560,1597885172614,83625.36000000182,836,168,Chrome,Windows,1080,1920,979,1920,288,400,English,42,Male,nearsighted,glasses,,84,[],7.46115,229102
baseline,img_side_order2,1,pair3,noun_filler,noun_filler,horse_filler,wave,horse,none,1597885146266,1920,979,5087,10114,11117,17136,18294,26348,1597885174092,1597885164560,1597885172614,83674.92499999935,925,186,Chrome,Windows,1080,1920,979,1920,288,400,English,42,Male,nearsighted,glasses,,84,[],7.46115,229102
baseline,img_side_order2,1,pair3,noun_filler,noun_filler,horse_filler,wave,horse,none,1597885146266,1920,979,5087,10114,11117,17136,18294,26348,1597885174092,1597885164560,1597885172614,83717.92999999889,914,198,Chrome,Windows,1080,1920,979,1920,288,400,English,42,Male,nearsighted,glasses,,84,[],7.46115,229102
baseline,img_side_order2,1,pair3,noun_filler,noun_filler,horse_filler,wave,horse,none,1597885146266,1920,979,5087,10114,11117,17136,18294,26348,1597885174092,1597885164560,1597885172614,83779.12500000093,976,209,Chrome,Windows,1080,1920,979,1920,288,400,English,42,Male,nearsighted,glasses,,84,[],7.46115,229102
baseline,img_side_order2,1,pair3,noun_filler,noun_filler,horse_filler,wave,horse,none,1597885146266,1920,979,5087,10114,11117,17136,18294,26348,1597885174092,1597885164560,1597885172614,83838.14500000153,930,275,Chrome,Windows,1080,1920,979,1920,288,400,English,42,Male,nearsighted,glasses,,84,[],7.46115,229102
baseline,img_side_order2,1,pair3,noun_filler,noun_filler,horse_filler,wave,horse,none,1597885146266,1920,979,5087,10114,11117,17136,18294,26348,1597885174092,1597885164560,1597885172614,83883.73000000138,989,184,Chrome,Windows,1080,1920,979,1920,288,400,English,42,Male,nearsighted,glasses,,84,[],7.46115,229102
baseline,img_side_order2,1,pair3,noun_filler,noun_filler,horse_filler,wave,horse,none,1597885146266,1920,979,5087,10114,11117,17136,18294,26348,1597885174092,1597885164560,1597885172614,83937.56000000212,970,135,Chrome,Windows,1080,1920,979,1920,288,400,English,42,Male,nearsighted,glasses,,84,[],7.46115,229102
baseline,img_side_order2,1,pair3,noun_filler,noun_filler,horse_filler,wave,horse,none,1597885146266,1920,979,5087,10114,11117,17136,18294,26348,1597885174092,1597885164560,1597885172614,83972.3550000017,1051,124,Chrome,Windows,1080,1920,979,1920,288,400,English,42,Male,nearsighted,glasses,,84,[],7.46115,229102
baseline,img_side_order2,1,pair3,noun_filler,noun_filler,horse_filler,wave,horse,none,1597885146266,1920,979,5087,10114,11117,17136,18294,26348,1597885174092,1597885164560,1597885172614,84019.6849999993,920,232,Chrome,Windows,1080,1920,979,1920,288,400,English,42,Male,nearsighted,glasses,,84,[],7.46115,229102
baseline,img_side_order2,1,pair3,noun_filler,noun_filler,horse_filler,wave,horse,none,1597885146266,1920,979,5087,10114,11117,17136,18294,26348,1597885174092,1597885164560,1597885172614,84064.00000000212,1081,278,Chrome,Windows,1080,1920,979,1920,288,400,English,42,Male,nearsighted,glasses,,84,[],7.46115,229102
