condition,img_side_order,trial_no,img_pair_name,trial_type,target_audio_type,target_audio,left_img,right_img,exp.clicked,start_time,current_windowW,current_windowH,end_pre1_time,end_pre2_time,end_img_reset_time,end_contrast_time,start_event_time,end_event_time,end_trial_time,start_event_timept,end_event_timept,time,x,y,Browser,OS,screenH,screenW,windowH,windowW,imageH,imageW,language,age,gender,eyesight,eyesight_task,comments,accuracy,previous_accuracy_attempts,time_in_minutes,participant_id
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,85218.0750000116,1158,351,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,85267.0150000049,1097,326,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,85290.7750000013,787,429,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,85324.42500001343,1362,399,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,85354.70999999961,776,663,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,85398.3850000077,921,499,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,85432.2300000058,689,342,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,85477.09500000929,982,236,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,85542.61000000406,934,22,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,85579.72000000882,1083,43,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,85614.3000000011,926,-22,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
