condition,img_side_order,trial_no,img_pair_name,trial_type,target_audio_type,target_audio,left_img,right_img,clicked_img,start_time,current_windowW,current_windowH,end_pre1_time,end_pre2_time,end_img_reset_time,end_contrast_time,start_event_time,end_event_time,end_trial_time,start_event_timept,end_event_timept,time,x,y,Browser,OS,screenH,screenW,windowH,windowW,imageH,imageW,language,gender,comments,accuracy,previous_accuracy_attempts,time_in_minutes,participant_id
verb,img_side_order2,1,pair8,noun_filler,noun_filler,hat_filler,sit,hat,none,1604737735704,1440,789,5022,10041,11041,17042,18055,26056,1604737761766,1604737753759,1604737761760,104660.45500000473,384.7249480962708,141.97527542291914,Chrome,Mac,900,1440,789,1440,288,400,English,Female,Elizabeth - test GOOD,0,[],8.124066666666666,165749
verb,img_side_order2,1,pair8,noun_filler,noun_filler,hat_filler,sit,hat,none,1604737735704,1440,789,5022,10041,11041,17042,18055,26056,1604737761766,1604737753759,1604737761760,104726.5849999385,374.48331989434035,119.0559052413567,Chrome,Mac,900,1440,789,1440,288,400,English,Female,Elizabeth - test GOOD,0,[],8.124066666666666,165749
verb,img_side_order2,1,pair8,noun_filler,noun_filler,hat_filler,sit,hat,none,1604737735704,1440,789,5022,10041,11041,17042,18055,26056,1604737761766,1604737753759,1604737761760,104768.1599999778,428.71760352410126,146.6271571172784,Chrome,Mac,900,1440,789,1440,288,400,English,Female,Elizabeth - test GOOD,0,[],8.124066666666666,165749
verb,img_side_order2,1,pair8,noun_filler,noun_filler,hat_filler,sit,hat,none,1604737735704,1440,789,5022,10041,11041,17042,18055,26056,1604737761766,1604737753759,1604737761760,104826.05999999214,465.9247654298145,235.1147794040753,Chrome,Mac,900,1440,789,1440,288,400,English,Female,Elizabeth - test GOOD,0,[],8.124066666666666,165749
verb,img_side_order2,1,pair8,noun_filler,noun_filler,hat_filler,sit,hat,none,1604737735704,1440,789,5022,10041,11041,17042,18055,26056,1604737761766,1604737753759,1604737761760,104871.8349999981,500.02451938995137,265.820969380776,Chrome,Mac,900,1440,789,1440,288,400,English,Female,Elizabeth - test GOOD,0,[],8.124066666666666,165749
verb,img_side_order2,1,pair8,noun_filler,noun_filler,hat_filler,sit,hat,none,1604737735704,1440,789,5022,10041,11041,17042,18055,26056,1604737761766,1604737753759,1604737761760,104918.48499991465,548.8152302466503,307.82428726543515,Chrome,Mac,900,1440,789,1440,288,400,English,Female,Elizabeth - test GOOD,0,[],8.124066666666666,165749
verb,img_side_order2,1,pair8,noun_filler,noun_filler,hat_filler,sit,hat,none,1604737735704,1440,789,5022,10041,11041,17042,18055,26056,1604737761766,1604737753759,1604737761760,104956.91499998793,592.5180590104345,322.3980722006743,Chrome,Mac,900,1440,789,1440,288,400,English,Female,Elizabeth - test GOOD,0,[],8.124066666666666,165749
verb,img_side_order2,1,pair8,noun_filler,noun_filler,hat_filler,sit,hat,none,1604737735704,1440,789,5022,10041,11041,17042,18055,26056,1604737761766,1604737753759,1604737761760,105009.41499997862,619.3908290513017,308.9440015557148,Chrome,Mac,900,1440,789,1440,288,400,English,Female,Elizabeth - test GOOD,0,[],8.124066666666666,165749
verb,img_side_order2,1,pair8,noun_filler,noun_filler,hat_filler,sit,hat,none,1604737735704,1440,789,5022,10041,11041,17042,18055,26056,1604737761766,1604737753759,1604737761760,105049.28999999538,616.7691445761142,261.4773441449253,Chrome,Mac,900,1440,789,1440,288,400,English,Female,Elizabeth - test GOOD,0,[],8.124066666666666,165749
verb,img_side_order2,1,pair8,noun_filler,noun_filler,hat_filler,sit,hat,none,1604737735704,1440,789,5022,10041,11041,17042,18055,26056,1604737761766,1604737753759,1604737761760,105132.47499999125,623.1955632846215,251.02100933270043,Chrome,Mac,900,1440,789,1440,288,400,English,Female,Elizabeth - test GOOD,0,[],8.124066666666666,165749
